sampleName	read1Path	read2Path
ht_92330_S21	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_92330_S21_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_92330_S21_R2.fastq.gz
ht_3165_S112	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_3165_S112_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_3165_S112_R2.fastq.gz
ht_3038_20_816_S110	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_3038_20_816_S110_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_3038_20_816_S110_R2.fastq.gz
ht_22G_12522_S195	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_12522_S195_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_12522_S195_R2.fastq.gz
ht_07T7_S174	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_07T7_S174_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_07T7_S174_R2.fastq.gz
ht_22G_1898_S127	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1898_S127_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1898_S127_R2.fastq.gz
ht_22G_1930_S142	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1930_S142_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1930_S142_R2.fastq.gz
ht_22G_1905_S150	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1905_S150_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1905_S150_R2.fastq.gz
ht_22G_1894_S178	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1894_S178_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1894_S178_R2.fastq.gz
ht_2947_1_S135	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_2947_1_S135_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_2947_1_S135_R2.fastq.gz
ht_21G_17404_S95	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_21G_17404_S95_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_21G_17404_S95_R2.fastq.gz
ht_22G_12520_S74	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_12520_S74_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_12520_S74_R2.fastq.gz
ht_2749_ER_PR_S51	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_2749_ER_PR_S51_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_2749_ER_PR_S51_R2.fastq.gz
ht_22G_1617_S142	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1617_S142_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1617_S142_R2.fastq.gz
ht_21G_20663_S82	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_21G_20663_S82_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_21G_20663_S82_R2.fastq.gz
ht_21G_19879_S211	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_21G_19879_S211_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_21G_19879_S211_R2.fastq.gz
ht_2778_B_S34	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_2778_B_S34_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_2778_B_S34_R2.fastq.gz
ht_2940_S112	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_2940_S112_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_2940_S112_R2.fastq.gz
ht_22G_12375_S227	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_12375_S227_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_12375_S227_R2.fastq.gz
ht_3038_20_256_S25	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_3038_20_256_S25_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_3038_20_256_S25_R2.fastq.gz
ht_22G_1916_S218	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1916_S218_R1.fastq.gz	s3://crmy-gb-main/taadisco/Paul-et-al/mfish-seq-healthy/ht_22G_1916_S218_R2.fastq.gz
