sampleName	bamPath	baiPath	dnaBamPath	dnaBaiPath
ORL-207-0point2pct-DMSO-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-0point2pct-DMSO-R1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-0point2pct-DMSO-R1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-0point2pct-DMSO-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-0point2pct-DMSO-R2_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-0point2pct-DMSO-R2_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-1pct-DMSO-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-1pct-DMSO-R1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-1pct-DMSO-R1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-1pct-DMSO-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-1pct-DMSO-R2_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-1pct-DMSO-R2_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-100uM-M22-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M22-R1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M22-R1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-100uM-M22-C4-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M22-C4-R1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M22-C4-R1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-100uM-M22-C4-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M22-C4-R2_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M22-C4-R2_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-100uM-M25-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-R1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-R1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-100uM-M25-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-R2_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-R2_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-100uM-M25-A5-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-A5-R1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-A5-R1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-100uM-M25-A5-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-A5-R2_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-A5-R2_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-100uM-M25-A9-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-A9-R1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-A9-R1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-100uM-M25-A9-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-A9-R2_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-MUSE/ORL-207-100uM-M25-A9-R2_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
