sampleName	bamPath	baiPath	dnaBamPath	dnaBaiPath	fastq1	fastq2
BICR10-siNT-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/BICR10-siNT-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/BICR10-siNT-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/BICR10-siNT-Rep1_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/BICR10-siNT-Rep1_r2.fq.gz
BICR10-siNT-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/BICR10-siNT-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/BICR10-siNT-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/BICR10-siNT-Rep2_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/BICR10-siNT-Rep2_r2.fq.gz
BICR10-sip150-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/BICR10-sip150-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/BICR10-sip150-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/BICR10-sip150-Rep1_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/BICR10-sip150-Rep1_r2.fq.gz
BICR10-sip150-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/BICR10-sip150-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/BICR10-sip150-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/BICR10-sip150-Rep2_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/BICR10-sip150-Rep2_r2.fq.gz
ORL-207-siNT-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/ORL-207-siNT-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/ORL-207-siNT-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/ORL-207-siNT-Rep1_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/ORL-207-siNT-Rep1_r2.fq.gz
ORL-207-siNT-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/ORL-207-siNT-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/ORL-207-siNT-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/ORL-207-siNT-Rep2_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/ORL-207-siNT-Rep2_r2.fq.gz
ORL-207-sip150-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/ORL-207-sip150-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/ORL-207-sip150-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/ORL-207-sip150-Rep1_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/ORL-207-sip150-Rep1_r2.fq.gz
ORL-207-sip150-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/ORL-207-sip150-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/ORL-207-sip150-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/ORL-207-sip150-Rep2_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/ORL-207-sip150-Rep2_r2.fq.gz
SCC9-siNT-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/SCC9-siNT-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/SCC9-siNT-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/SCC9-siNT-Rep1_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/SCC9-siNT-Rep1_r2.fq.gz
SCC9-siNT-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/SCC9-siNT-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow-RELABELLED/SCC9-siNT-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam.bai	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/SCC9-siNT-Rep2_r1.fq.gz	s3://crmy-gb-main/reddisco/fastqs-TeD1-RNA-seq-RELABELLED/SCC9-siNT-Rep2_r2.fq.gz
